State,Critical reading,Mathematics,SAT Mean,Year,Sector,Total Completion (%),Code
Alabama,557,552,1109,2009,All Reported Sectors,58.0,AL
Alaska,520,516,1036,2009,All Reported Sectors,††,AK
Arizona,516,521,1037,2009,All Reported Sectors,,AZ
Arkansas,572,572,1144,2009,All Reported Sectors,47.8,AR
California,500,513,1013,2009,All Reported Sectors,44.5,CA
Colorado,568,575,1143,2009,All Reported Sectors,52.9,CO
Connecticut,509,513,1022,2009,All Reported Sectors,61.6,CT
Delaware,495,498,993,2009,All Reported Sectors,69.5,DE
Florida,497,498,995,2009,All Reported Sectors,54.2,FL
Georgia,490,491,981,2009,All Reported Sectors,51.5,GA
Hawaii,479,502,981,2009,All Reported Sectors,45.2,HI
Idaho,541,540,1081,2009,All Reported Sectors,42.7,ID
Illinois,588,604,1192,2009,All Reported Sectors,58.0,IL
Indiana,496,507,1003,2009,All Reported Sectors,63.5,IN
Iowa,610,615,1225,2009,All Reported Sectors,59.7,IA
Kansas,581,589,1170,2009,All Reported Sectors,52.5,KS
Kentucky,573,573,1146,2009,All Reported Sectors,51.0,KY
Louisiana,563,558,1121,2009,All Reported Sectors,,LA
Maine,468,467,935,2009,All Reported Sectors,56.0,ME
Maryland,500,502,1002,2009,All Reported Sectors,52.3,MD
Massachusetts,514,526,1040,2009,All Reported Sectors,66.4,MA
Michigan,584,603,1187,2009,All Reported Sectors,50.5,MI
Minnesota,595,609,1204,2009,All Reported Sectors,64.8,MN
Mississippi,567,554,1121,2009,All Reported Sectors,49.7,MS
Missouri,595,600,1195,2009,All Reported Sectors,53.5,MO
Montana,541,542,1083,2009,All Reported Sectors,49.2,MT
Nebraska,587,594,1181,2009,All Reported Sectors,55.0,NE
Nevada,501,505,1006,2009,All Reported Sectors,29.0,NV
New Hampshire,523,523,1046,2009,All Reported Sectors,74.2,NH
New Jersey,496,513,1009,2009,All Reported Sectors,51.0,NJ
New Mexico,553,546,1099,2009,All Reported Sectors,43.2,NM
New York,485,502,987,2009,All Reported Sectors,57.9,NY
North Carolina,495,511,1006,2009,All Reported Sectors,54.2,NC
North Dakota,590,593,1183,2009,All Reported Sectors,61.2,ND
Ohio,537,546,1083,2009,All Reported Sectors,53.0,OH
Oklahoma,575,571,1146,2009,All Reported Sectors,,OK
